    2.96	    485.01	   -179.93	     18.85	      0.34
    3.79	    514.37	   -185.84	     18.17	      0.42
    4.88	    527.32	   -204.60	     18.09	      0.49
    6.29	    553.46	   -235.69	     18.52	      0.56
    8.12	    583.69	   -236.79	     19.08	      0.60
   10.46	    605.56	   -238.91	     20.94	      0.62
   13.50	    636.80	   -261.15	     22.52	      0.64
   17.42	    718.20	   -302.80	     25.37	      0.69
   22.46	    741.20	   -330.91	     25.40	      0.73
   29.00	    741.59	   -362.62	     30.70	      0.72
   37.46	    841.68	   -384.56	     49.38	      0.66
   48.38	    919.21	   -332.11	     72.49	      0.61
   62.46	   1067.49	   -314.81	     82.59	      0.63
   80.67	   1160.07	   -409.32	     99.16	      0.57
  104.17	   1150.56	   -493.29	    103.37	      0.51
